-72.1715,42.5378, MXCOHRTS ,142,1979,4,2, United_States_of_America
-72.1715,42.5378, MXCOHRTS ,142,1980,4,2, United_States_of_America
-72.1715,42.5378, MXCOHRTS ,142,1981,4,2, United_States_of_America
-72.1715,42.5378, MXCOHRTS ,142,1982,4,2, United_States_of_America
-72.1715,42.5378, MXCOHRTS ,142,1983,4,2, United_States_of_America
-72.1715,42.5378, MXCOHRTS ,142,1984,4,2, United_States_of_America
-72.1715,42.5378, MXCOHRTS ,142,1985,4,2, United_States_of_America
-72.1715,42.5378, MXCOHRTS ,142,1986,4,2, United_States_of_America
-72.1715,42.5378, MXCOHRTS ,142,1987,4,2, United_States_of_America
-72.1715,42.5378, MXCOHRTS ,142,1988,4,2, United_States_of_America
-72.1715,42.5378, MXCOHRTS ,142,1989,4,2, United_States_of_America
-72.1715,42.5378, MXCOHRTS ,142,1990,4,2, United_States_of_America
-72.1715,42.5378, MXCOHRTS ,142,1991,4,2, United_States_of_America
-72.1715,42.5378, MXCOHRTS ,142,1992,4,2, United_States_of_America
-72.1715,42.5378, MXCOHRTS ,142,1993,4,2, United_States_of_America
-72.1715,42.5378, MXCOHRTS ,142,1994,4,2, United_States_of_America
-72.1715,42.5378, MXCOHRTS ,142,1995,4,2, United_States_of_America
-72.1715,42.5378, MXCOHRTS ,142,1996,4,2, United_States_of_America
-72.1715,42.5378, MXCOHRTS ,142,1997,4,2, United_States_of_America
-72.1715,42.5378, MXCOHRTS ,142,1998,4,2, United_States_of_America
-72.1715,42.5378, MXCOHRTS ,142,1999,4,2, United_States_of_America
-72.1715,42.5378, MXCOHRTS ,142,2000,4,2, United_States_of_America
-72.1715,42.5378, MXCOHRTS ,142,2001,4,2, United_States_of_America
-72.1715,42.5378, MXCOHRTS ,142,2002,4,2, United_States_of_America
-72.1715,42.5378, MXCOHRTS ,142,2003,4,2, United_States_of_America
-72.1715,42.5378, MXCOHRTS ,142,2004,4,2, United_States_of_America
-72.1715,42.5378, MXCOHRTS ,142,2005,4,2, United_States_of_America
-72.1715,42.5378, MXCOHRTS ,142,2006,4,2, United_States_of_America
-72.1715,42.5378, MXCOHRTS ,142,2007,4,2, United_States_of_America
-72.1715,42.5378, MXCOHRTS ,142,2008,4,2, United_States_of_America
-72.1715,42.5378, MXCOHRTS ,142,2009,4,2, United_States_of_America
-72.1715,42.5378, MXCOHRTS ,142,2010,4,2, United_States_of_America
-72.1715,42.5378, MXCOHRTS ,142,2011,4,2, United_States_of_America
